,Name,Mass,PTMCnt,PTMCntRatio,MassDifferent,PeptideLength,AvgIntensityLog,expect,fval,EucliIntraProtein,ManhattanIntraProtein,PearsonIntraProtein,CosineIntraProtein,EucliIntraProteinPair,ManhattanIntraProteinPair,CosineIntraProteinPair,Charge2,Charge3,Charge4,Charge5,y
2834,A14-07151_Ratio.38868.38868.2,1903.1471,1,0.076923077,0.003,13,10.92254451,0.0013,9.5361,0.352018418,0.621119227,0.038503664,0.011954365,0.494064999,0.846971606,0.019616061,1,0,0,0,0
12085,A14-07151_Ratio.21574.21574.2,1478.8541,1,0.1,0.004,10,11.08301365,0.19,4.1665,0.138108957,0.250562264,0.884552412,0.000561784,0.137723205,0.257266013,0.000561784,1,0,0,0,0
3827,A14-07151_Ratio.23318.23318.2,1306.805637,1,0.125,0.00417,8,11.45962031,0.00153,4.4661,0.352018418,0.621119227,0.038503664,0.011954365,0.494064999,0.846971606,0.019616061,1,0,0,0,0
1958,A14-07151_Ratio.08603.08603.2,1317.730686,1,0.142857143,0.001262,7,12.64523019,0.0246,4.7625,0.352018418,0.621119227,0.038503664,0.011954365,0.494064999,0.846971606,0.019616061,1,0,0,0,0
5951,A14-07151_Ratio.07621.07621.2,1187.694309,1,0.142857143,0.002727,7,12.97358585,0.00673,4.4303,0.298082761,0.571599628,-0.657720939,0.008801389,0.457717435,0.804024924,0.024025098,1,0,0,0,0
3428,A14-07151_Ratio.29038.29038.2,1588.931248,1,0.111111111,0.004838,9,10.74462581,0.00518,5.4686,0.306848534,0.648012959,0.497983732,0.001224669,0.34775166,0.678076677,0.004465383,1,0,0,0,0
8990,A14-07151_Ratio.16427.16427.3,1922.0075,0,0.0,0.002,15,10.53884548,0.0063,10.521,0.184054817,0.347838575,-0.862432511,0.002773954,0.276761784,0.525682402,0.00562446,0,1,0,0,0
5508,A14-07151_Ratio.04717.04717.2,1047.552,0,0.0,0.001,9,11.16549321,0.11,6.7252,0.171667022,0.344078278,0.991854825,0.002205907,0.161746322,0.335796685,0.002205907,1,0,0,0,0
2113,A14-07151_Ratio.39744.39744.2,1749.0761,0,0.0,0.005,15,9.487439388,0.00021,10.798,0.51663624,0.961217344,-0.859926446,0.015218018,0.715601252,1.210933693,0.032368651,1,0,0,0,0
1252,A14-07151_Ratio.33812.33812.4,2297.388375,3,0.214285714,0.009392,14,9.772772951,1.03e-05,5.0426,0.467057093,0.796354148,0.494400368,0.014891987,0.607326822,1.0928415,0.02552059,0,0,1,0,0
8061,A14-07151_Ratio.37959.37959.2,1541.8735,1,0.111111111,0.005,9,11.74281705,0.0023,6.6987,0.209926795,0.423700208,0.184500405,0.003442002,0.327022023,0.590084445,0.010603464,1,0,0,0,0
